run,testcase,mainmenu_name,mainmenu_upper,mainmenu_lower,submenu_name,submenu_upper,submenu_lower,item_name,item_lower,searchtext,expected
on,Fashion: Scarf,Fashion,FASHION,fashion,Accessories,ACCESSORIES,accessories,Belts,belts,MUK LUKS Reversible Scarf,5
on,Fashion: Belt,Fashion,FASHION,fashion,Accessories,ACCESSORIES,accessories,Gloves,gloves,Stretch Fleece Multi-Mitt with Cell ,5
on,Fashion: Dresses,Fashion,FASHION,fashion,Dresses,DRESSES,dresses,Dresses,dresses,H by Halston Frost Print Draped,5
on,Fashion: Jumpsuits & Rompers,Fashion,FASHION,fashion,Dresses,DRESSES,dresses,Jumpsuits & Rompers,jumpsuits & rompers ,H by Halston Regular Knit Wrap Style Jumpsuit with Tie Waist,5
on,Jewelry: Fashion Bracelets ,Jewelry,JEWELRY,jewelry,Bracelets,BRACELETS,bracelets,Fashion Bracelets ,fashion bracelets ,LOGO Links by Lori Goldstein Round Gemstone Stretch Bracelet,5
on,Jewelry: Fine Bracelets,Jewelry,JEWELRY,jewelry,Bracelets,BRACELETS,bracelets,Fine Bracelets,fine bracelets,Extraordinary Life Sterling Silver Crystal Charm Bangles,5
on,Shoes: Ankle,Shoes,SHOES,shoes,Boots,BOOTS,boots,Ankle,ankle,"Sole Society Nubuck Ankle Boots - Jessy
",5
on,Shoes: Sneakers,Shoes,SHOES,shoes,Aerosoles,AEROSOLES,aerosoles,Sneakers,sneakers,"Aerosoles Sporty Slip-On Sneakers - Alter Ego
",5
on,Electronics: Landline Accessories,Electronics,ELECTRONICS,electronics,Phones,PHONES,phones,Landline Accessories,landline accessories,Passport 21 Headset for Headset-Ready Phones -for P Series,5
on,Kitchen & Food: Accessories,Kitchen & Food ,KITCHEN & FOOD,kitchen & food ,Cookware,COOKWARE,cookware,Accessories,accessories,"CooksEssentials Hard Anodized Dishwasher Safe 10-Piece Cookware Set
",5
on,Beauty: Cologne,Beauty,BEAUTY,beauty,Fragrance,FRAGRANCES,fragrance,Cologne ,cologne ,"Tova Handsome for Men Cologne, 3.4 fl oz",5
on,Fashion: Gloves,Fashion,FASHION,fashion,Accessories,ACCESSORIES,accessories,Gloves,gloves,Stretch Fleece Multi-Mitt with Cell Phone Pocket by Sprigs,5
on ,Fashion: Men's,Fashion,FASHION,fashion,Accessories,ACCESSORIES,accessories,Men's,men's ,Catawba S/3 Men's Workzone Everyday Dri-Release Socks,5
on,Fashion: Sunglasses,Fashion,FASHION,fashion,Accessories,ACCESSORIES,accessories,Sunglasses,sunglasses,Foster Grant Modern Aviator Sunglasses With Rope Motif,5
on,Fashion: Umbrellas,Fashion,FASHION,fashion,Accessories,ACCESSORIES,accessories,Umbrellas,umbrellas,Automatic Open Stick Umbrella,5
on,Fashion: Sets ,Fashion,FASHION,fashion,Accessories,ACCESSORIES,accessories,Sets,sets,Bradley Bayou Ladies Butterfly Cable Knit Set,5
on,Fashion: Pajamas,Fashion,FASHION,fashion,Sleepwear,SLEEPWEAR,sleepwear,Pajamas,pajamas,Carole Hochman Heathered Interlock 2 Piece Lounge PJ Set,5
on,Fashion: Sleepshirts,Fashion,FASHION,fashion,Sleepwear,SLEEPWEAR,sleepwear,Sleepshirts,sleepshirts,Jane & Bleecker Ribbed Henley Chemise,5
on,Fashion: Tops,Fashion,FASHION,fashion,Activewear,ACTIVEWEAR,activewear,Tops,tops,cee bee CHERYL BURKE Long Sleeve Pointelle Top,5
on,Fashion: Jackets & Sweatshirts,Fashion,FASHION,fashion,Activewear,ACTIVEWEAR,activewear,Jackets & Sweatshirts,jackets & sweatshirts,Ryka Essential Pullover with Quarter Zipper,5
on,Fashion: Pants,Fashion,FASHION,fashion,Children's Clothing ,CHILDREN'S CLOTHING ,children's clothing ,Pants,pants,LOGO Littles by Lori Goldstein Knit Cropped Pull-On Leggings,5
on,Fashion: Tops,Fashion,FASHION,fashion,Children's Clothing ,CHILDREN'S CLOTHING ,children's clothing ,Tops,tops,Layers by Lizden Marvelush Little Ladies Poncho,5
on,Fashion: Accessories,Fashion,FASHION,fashion,Bob Mackie ,BOB MACKIE,bob mackie ,Accessories,accessories, Two-Toned Lace Printed Chiffon Scarf,5
