run,testcase,mainmenu,searchtext,expected
on,Fashion: Scarf,Fashion,MUK LUKS Reversible Scarf,5
on,Fashion: Belt,Fashion,Susan Graver Adjustable Belt,5
on,Fashion: Blouses & Tops ,Fashion,Susan Graver French Terry  Tunic,5
on,Fashion: Dress,Fashion,H by Halston Regular Knit,5
on,Fashion: outwear,Fashion,Dennis Basso coat,5
on,Fashion: shapewear,Fashion,Shapewear Set,5
on,Fashion: Skirt,Fashion,Skirt,5
on,Fashion: Tall,Fashion,Women with Control Tall¾,5
on,Fashion: Activewear,Fashion,Ryka Essential Relaxed-Fit¾,5
on,Fashion: women with control,Fashion,Women with Control Regular,5
on,shoes: Boots,Shoes,Clarks Suede Water boots,5
on,Shoes: shoes,Shoes,Clarks Suede Water,5
on ,Shoes: contemporary,Shoes,Tall Shaft Boots ,5
on,Shoes: Casual shoes,Shoes,Men's Orthotic Casual shoes,5
on,Shoes: Sandals,Shoes,Vionic w/ Orthaheel Men's   Sandals,5
on,Shoes: Children (11-5),Shoes,Minnetonka Children's ,5
on,Shoes: Skechers ,Shoes,Skechers Memory Foam,5
on,Shoes: Earth Brand Footware,Shoes,Earth Origins Leather ,5
on,Handbags: all Handbags,Handbags,Dooney & Bourke bags,5
on,Handbags: waletts and cases,Handbags,ID Stronghold RFID,5
on ,Handbags: RFID,Handbags,Travelon RFID waletts,5
on,Handbags: $200 -$400,Handbags,Dooney & Bourke  leather,5
on ,Handbags: $1000 - $2000,Handbags,Isaac Mizrahi  new york handbag,5
on,Handbags: Isaac Mizrahi Live!,Handbags,Isaac Mizrahi Live! Bridgehampton Leather Crossbody,5
on ,Handbags: G.I.L.I. got it love it,Handbags,G.I.L.I. with HALOGUARD Leather Zip Front RFID Handbag,5
on,Handbags: vera bradley,Handbags,Vera Bradley Wallet,5
on ,Handbags: Aimee kestenberg,Handbags,Aimee Kestenberg Pebbled Leather,5
on,Jewelery: Basic chains,Jewelery,Stainless Steel franco chain,5
on,Jewelery: fashion jewelery,Jewelery,BaubleBar Beaded  Necklace,5
on,Jewelery: Watch,Jewelery,Judith Ripka  Stainless Steel Watch,5
